* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C300FKIT
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\574.eds
* Experiment Name = 2013-06-27 574
* Experiment Run End Time = 2013-06-28 20:23:49 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
104	hsa-mir-4323	24.600	3	21	Y
105	hsa-mir-339-5p	24.247	3	21	N
106	hsa-mir-501-5p	27.068	3	24	N
107	hsa-mir-132-3p	23.410	3	20	N
108	hsa-mir-29a-3p	18.308	3	15	N
109	hsa-mir-22-5p	22.488	3	19	N
110	hsa-mir-596	25.002	3	22	N
111	hsa-mir-191-5p	18.137	3	15	N
112	hsa-mir-103a-2-5p	26.715	3	23	N
113	hsa-let-7b-5p	17.917	3	15	N
114	hsa-mir-103a-3p	20.087	3	17	N
115	hsa-mir-489	23.519	3	20	N
116	hsa-mir-4306	24.334	3	21	N
117	hsa-mir-378a-3p	21.229	3	18	N
118	hsa-mir-30e-3p	23.265	3	20	N
119	hsa-mir-107	23.929	3	21	N
120	hsa-mir-382-5p	24.494	3	21	N
121	hsa-mir-484	18.099	3	15	N
122	hsa-mir-1281	22.260	3	19	N
123	hsa-mir-3653	30.501	3	27	N
124	hsa-mir-423-3p	21.463	3	18	N
125	hsa-mir-224-5p	24.344	3	21	N
126	hsa-mir-877-3p	24.511	3	21	N
127	hsa-mir-4732-3p	23.994	3	21	Y
128	hsa-mir-22-3p	17.598	3	14	N
129	hsa-mir-125b-5p	19.356	3	16	N
130	hsa-mir-203a	25.942	3	23	N
131	hsa-let-7i-5p	17.982	3	15	N
132	hsa-mir-454-3p	24.455	3	21	N
133	hsa-mir-3159	26.895	3	24	N
134	hsa-let-7f-1-3p	27.867	3	25	N
135	hsa-mir-548c-5p	26.025	3	23	N
136	hsa-mir-1913	23.699	3	20	N
137	hsa-mir-548e	29.303	3	26	N
138	hsa-mir-4770	24.415	3	21	N
139	hsa-mir-186-5p	19.952	3	17	N
140	hsa-mir-10a-5p	24.307	3	21	N
141	hsa-mir-1203	26.785	3	24	N
142	hsa-mir-1280	17.573	3	14	N
143	hsa-mir-101-3p	17.711	3	15	N
144	hsa-mir-1910	24.235	3	21	N
145	hsa-mir-151a-3p	22.136	3	19	N
146	hsa-mir-196a-5p	25.961	3	23	N
147	hsa-mir-877-5p	24.299	3	21	N
148	hsa-mir-148b-3p	19.568	3	16	N
149	hsa-mir-100-5p	19.444	3	16	N
150	hsa-mir-4422	26.547	3	23	N
151	hsa-mir-18a-3p	23.551	3	20	N
152	hsa-mir-15a-5p	20.428	3	17	N
153	hsa-mir-134	26.082	3	23	N
154	hsa-mir-421	24.725	3	22	N
155	hsa-mir-181c-5p	24.723	3	22	N
156	hsa-mir-337-5p	27.582	3	24	N
157	hsa-mir-1537	25.849	3	23	N
158	hsa-mir-7-5p	22.989	3	19	N
159	hsa-mir-139-5p	21.827	3	19	N
160	hsa-mir-551a	29.925	3	27	N
161	hsa-mir-15a-3p	26.668	3	24	Y
162	hsa-mir-339-3p	25.294	3	22	N
163	hsa-mir-340-5p	23.366	3	20	N
164	hsa-mir-30d-5p	20.176	3	17	N
165	hsa-mir-3923	27.356	3	24	N
166	hsa-let-7e-5p	23.171	3	20	N
167	hsa-mir-335-3p	27.695	3	25	Y
168	hsa-mir-345-5p	24.258	3	21	N
169	hsa-mir-485-5p	27.884	3	25	Y
170	hsa-mir-3183	24.929	3	22	N
171	hsa-mir-532-3p	23.403	3	20	N
172	hsa-mir-542-3p	27.030	3	24	N
173	hsa-mir-199a-3p	19.988	3	17	N
174	hsa-mir-337-3p	23.727	3	20	N
175	hsa-mir-4301	21.121	3	18	N
176	hsa-mir-381-3p	26.712	3	24	N
177	hsa-mir-412	27.650	3	24	N
178	hsa-mir-505-3p	21.961	3	19	N
179	hsa-mir-136-3p	24.797	3	21	N
180	hsa-mir-363-3p	21.966	3	19	N
181	hsa-mir-1301	25.958	3	23	N
182	hsa-let-7g-3p	25.842	3	23	N
183	hsa-mir-598	24.758	3	22	N
184	hsa-mir-221-3p	19.160	3	16	N
185	hsa-mir-28-3p	23.357	3	20	N
186	hsa-mir-629-3p	26.469	3	23	N
187	hsa-mir-4267	28.140	3	25	N
188	hsa-mir-3131	22.352	3	19	N
189	hsa-mir-124-3p	26.994	3	24	N
190	hsa-mir-155-5p	26.678	3	23	N
191	hsa-mir-486-3p	23.340	3	20	N
192	hsa-mir-26a-5p	17.966	3	15	N
193	hsa-mir-98-5p	26.312	3	23	N
