* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 10:11:03 AM PST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 11:14:22 AM PST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 11:37:51 AM PST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 10:01:48 AM PST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 11:25:41 AM PST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 11:04:04 AM PST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 11:46:31 AM PST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 10:34:56 AM PST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 10:52:46 AM PST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C300FKIU
* Experiment Comments = 
* Experiment File Name = D:\Documents and Settings\INSTR-ADMIN\Desktop\6_30_13 apap\2013-06-30 200940\506.eds
* Experiment Name = _C300FKIU
* Experiment Run End Time = 2013-07-01 11:30:01 AM PDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Tm1	MTP
88	hsa-mir-199a-5p	23.204	0.040	78.169	N
89	hsa-mir-125a-5p	21.123	0.040	75.621	N
90	hsa-mir-376c-3p	25.545	0.040	75.755	N
91	hsa-mir-503-5p	22.724	0.040	80.047	N
92	hsa-mir-361-3p	24.591	0.040	75.219	N
93	hsa-mir-590-5p	20.067	0.040	75.487	N
94	hsa-mir-1207-5p	15.457	0.040	75.219	Y
95	hsa-mir-342-5p	23.505	0.040	75.889	N
96	hsa-mir-1193	24.200	0.040	77.633	Y
97	hsa-mir-624-5p	23.497	0.040	75.755	N
98	hsa-mir-4689	17.508	0.040	76.828	N
99	hsa-mir-139-3p	20.553	0.040	79.644	N
100	hsa-mir-4516	11.619	0.040	77.096	N
101	hsa-mir-1539	19.798	0.040	77.901	N
102	hsa-mir-377-3p	26.600	0.040	80.315	Y
103	hsa-mir-130a-3p	18.183	0.040	75.755	N
104	hsa-mir-4323	18.373	0.040	79.912	N
105	hsa-mir-339-5p	20.168	0.040	79.242	N
106	hsa-mir-501-5p	21.829	0.040	79.510	N
107	hsa-mir-132-3p	21.172	0.040	76.292	N
108	hsa-mir-29a-3p	13.070	0.040	75.755	N
109	hsa-mir-22-5p	16.526	0.040	75.755	N
110	hsa-mir-596	18.303	0.040	79.778	N
111	hsa-mir-191-5p	19.097	0.040	76.024	N
112	hsa-mir-103a-2-5p	22.520	0.040	79.644	N
113	hsa-let-7b-5p	18.894	0.040	75.487	N
114	hsa-mir-103a-3p	18.678	0.040	76.292	N
115	hsa-mir-489	22.515	0.040	73.744	N
116	hsa-mir-4306	21.184	0.040	75.487	N
117	hsa-mir-378a-3p	15.533	0.040	76.158	N
118	hsa-mir-30e-3p	22.144	0.040	75.487	N
119	hsa-mir-107	20.540	0.040	76.292	N
120	hsa-mir-382-5p	24.290	0.040	75.889	N
121	hsa-mir-484	17.099	0.040	77.096	N
122	hsa-mir-1281	15.882	0.040	79.108	N
123	hsa-mir-3653	23.548	0.040	75.621	N
124	hsa-mir-423-3p	17.879	0.040	76.828	N
125	hsa-mir-224-5p	25.440	0.040	76.292	N
126	hsa-mir-877-3p	17.960	0.040	78.840	N
127	hsa-mir-4732-3p	20.594	0.040	80.315	N
128	hsa-mir-22-3p	12.095	0.040	76.158	N
129	hsa-mir-125b-5p	15.029	0.040	75.621	N
130	hsa-mir-203a	23.662	0.040	75.487	N
131	hsa-let-7i-5p	17.142	0.040	75.621	N
132	hsa-mir-454-3p	26.255	0.040	75.085	N
133	hsa-mir-3159	21.634	0.040	78.840	N
134	hsa-let-7f-1-3p	22.322	0.040	77.096	N
135	hsa-mir-548c-5p	20.785	0.040	76.024	N
136	hsa-mir-1913	18.617	0.040	77.230	N
137	hsa-mir-548e	23.834	0.040	75.755	N
138	hsa-mir-4770	22.870	0.040	77.767	N
139	hsa-mir-186-5p	18.777	0.040	75.755	N
140	hsa-mir-10a-5p	22.909	0.040	75.219	N
141	hsa-mir-1203	19.169	0.040	78.706	N
142	hsa-mir-1280	15.041	0.040	77.096	N
143	hsa-mir-101-3p	14.995	0.040	75.621	N
144	hsa-mir-1910	17.677	0.040	78.571	N
145	hsa-mir-151a-3p	19.481	0.040	76.292	N
146	hsa-mir-196a-5p	22.041	0.040	77.901	N
147	hsa-mir-877-5p	17.903	0.040	76.962	N
148	hsa-mir-148b-3p	13.247	0.040	75.621	N
149	hsa-mir-100-5p	14.544	0.040	75.755	N
150	hsa-mir-4422	22.388	0.040	77.633	N
151	hsa-mir-18a-3p	21.803	0.040	79.510	N
152	hsa-mir-15a-5p	19.171	0.040	75.889	N
153	hsa-mir-134	21.799	0.040	83.533	Y
154	hsa-mir-421	22.868	0.040	76.158	N
155	hsa-mir-181c-5p	23.889	0.040	77.230	Y
156	hsa-mir-337-5p	25.719	0.040	79.108	N
157	hsa-mir-1537	25.895	0.040	78.706	Y
158	hsa-mir-7-5p	23.517	0.040	75.353	N
159	hsa-mir-139-5p	22.130	0.040	76.426	N
160	hsa-mir-551a	23.015	0.040	78.571	N
161	hsa-mir-15a-3p	20.051	0.040	78.035	N
162	hsa-mir-339-3p	21.238	0.040	78.840	N
163	hsa-mir-340-5p	21.649	0.040	75.487	N
164	hsa-mir-30d-5p	18.866	0.040	76.292	N
165	hsa-mir-3923	22.657	0.040	76.426	N
166	hsa-let-7e-5p	22.834	0.040	75.219	N
167	hsa-mir-335-3p	22.885	0.040	78.437	N
168	hsa-mir-345-5p	19.159	0.040	76.560	N
169	hsa-mir-485-5p	23.095	0.040	80.717	N
170	hsa-mir-3183	22.556	0.040	77.230	N
171	hsa-mir-532-3p	19.606	0.040	76.560	N
