* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C300FKO3
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\433.eds
* Experiment Name = _C300FKO3
* Experiment Run End Time = 2013-07-13 04:18:52 AM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	24.512	3	21	N
2	hsa-mir-let-7c	22.442	3	19	N
3	hsa-mir-3141	18.063	3	15	N
4	hsa-mir-184	25.973	3	23	Y
5	hsa-mir-532-5p	22.855	3	20	N
6	hsa-mir-152	18.975	3	16	N
7	hsa-mir-1231	20.135	3	17	N
8	hsa-mir-3911	20.536	3	17	N
9	hsa-mir-223-5p	24.472	3	21	N
10	hsa-mir-1909-5p	18.613	3	15	N
11	hsa-mir-4291	20.530	3	17	Y
12	hsa-mir-205-5p	22.301	3	19	N
13	hsa-mir-3651	23.991	3	21	N
14	hsa-mir-1587	15.087	3	12	N
15	hsa-mir-372	24.230	3	21	N
16	hsa-mir-1260a	15.329	3	12	Y
17	hsa-mir-19b-1-5p	20.989	3	18	N
18	hsa-let-7a-3p	20.953	3	18	N
19	hsa-mir-183-3p	25.039	3	22	N
20	hsa-mir-1290	22.572	3	19	N
21	hsa-mir-628-3p	22.151	3	19	N
22	hsa-mir-92b-3p	20.809	3	18	N
23	hsa-mir-7-2-3p	22.327	3	19	N
24	hsa-mir-144-5p	21.880	3	19	N
25	hsa-mir-3610	16.185	3	13	N
26	hsa-mir-199b-5p	24.286	3	21	Y
27	hsa-mir-1286	21.603	3	18	N
28	hsa-mir-497-5p	20.217	3	17	N
29	hsa-mir-18b-5p	24.643	3	21	N
30	hsa-mir-214-3p	21.718	3	19	N
31	hsa-mir-34a-5p	19.181	3	16	N
32	hsa-mir-4732-5p	20.823	3	18	N
33	hsa-mir-660-5p	17.858	3	15	N
34	hsa-mir-3120-3p	23.478	3	20	N
35	hsa-mir-151b	18.727	3	16	N
36	hsa-mir-423-5p	17.421	3	14	N
37	hsa-mir-4687-5p	18.640	3	15	N
38	hsa-mir-93-3p	21.961	3	19	N
39	hsa-mir-2276	22.061	3	19	N
40	hsa-mir-33a-5p	24.430	3	21	N
41	hsa-mir-150-5p	20.268	3	17	N
42	hsa-mir-21-5p	13.536	3	10	N
43	hsa-mir-329	24.236	3	21	N
44	hsa-mir-550a-5p	23.335	3	20	N
45	hsa-mir-378b	19.410	3	16	N
46	hsa-mir-28-5p	21.664	3	18	N
47	hsa-mir-138-1-3p	16.936	3	14	N
48	hsa-mir-193a-5p	19.410	3	16	N
49	hsa-mir-26b-3p	23.410	3	20	Y
50	hsa-mir-16-2-3p	22.420	3	19	N
51	hsa-mir-146a-5p	20.552	3	17	N
52	hsa-mir-3200-3p	24.002	3	21	N
53	hsa-mir-21-3p	23.967	3	21	N
54	hsa-let-7g-5p	21.048	3	18	N
55	hsa-mir-338-3p	24.220	3	21	N
56	hsa-mir-2110	20.915	3	18	N
57	hsa-mir-3200-5p	21.350	3	18	N
58	hsa-mir-196b-5p	22.979	3	20	N
59	hsa-mir-769-5p	22.211	3	19	N
60	hsa-mir-29c-3p	15.184	3	12	N
61	hsa-mir-4651	18.496	3	15	N
62	hsa-mir-127-3p	22.247	3	19	N
63	hsa-mir-29c-5p	24.101	3	21	N
64	hsa-mir-181b-5p	20.383	3	17	N
65	hsa-mir-1180	21.802	3	19	N
66	hsa-mir-133b	24.589	3	21	N
67	hsa-mir-324-3p	18.127	3	15	N
68	hsa-mir-3235b	16.616	3	13	N
69	hsa-mir-502-3p	22.714	3	19	N
70	hsa-mir-3655	22.457	3	19	N
71	hsa-mir-130b-5p	25.676	3	22	N
72	hsa-mir-324-5p	22.318	3	19	N
73	hsa-mir-373-3p	23.618	3	20	N
74	hsa-mir-3646	18.492	3	15	N
75	hsa-mir-1	26.445	3	23	N
76	hsa-mir-3907	17.629	3	14	N
77	hsa-mir-422a	20.830	3	18	N
78	hsa-mir-338-5p	21.471	3	18	N
79	hsa-mir-631	18.387	3	15	N
80	hsa-mir-143-3p	22.804	3	20	N
81	hsa-mir-627	21.986	3	19	N
82	hsa-let-7i-3p	23.774	3	21	N
83	hsa-mir-451a	9.210	3	6	N
84	hsa-mir-29b-3p	21.582	3	18	N
85	hsa-mir-194-5p	16.795	3	14	N
86	hsa-mir-605	20.924	3	18	N
87	hsa-mir-30b-5p	21.448	3	18	N
88	hsa-mir-199a-5p	23.668	3	21	N
89	hsa-mir-125a-5p	21.436	3	18	N
90	hsa-mir-376c-3p	25.450	3	22	N
91	hsa-mir-503-5p	23.368	3	20	Y
92	hsa-mir-361-3p	26.493	3	23	N
93	hsa-mir-590-5p	20.992	3	18	N
94	hsa-mir-1207-5p	16.207	3	13	Y
95	hsa-mir-342-5p	24.213	3	21	N
96	hsa-mir-1193	25.073	3	22	Y
97	hsa-mir-624-5p	25.538	3	22	N
98	hsa-mir-4689	18.938	3	16	N
99	hsa-mir-139-3p	21.329	3	18	N
100	hsa-mir-4516	11.206	3	8	N
101	hsa-mir-1539	20.479	3	17	N
102	hsa-mir-377-3p	27.041	3	24	N
103	hsa-mir-130a-3p	18.797	3	16	N
104	hsa-mir-4323	18.983	3	16	N
105	hsa-mir-339-5p	20.553	3	17	N
106	hsa-mir-501-5p	22.828	3	20	N
107	hsa-mir-132-3p	22.174	3	19	N
108	hsa-mir-29a-3p	15.784	3	13	N
109	hsa-mir-22-5p	18.557	3	15	N
110	hsa-mir-596	18.969	3	16	N
111	hsa-mir-191-5p	19.482	3	16	N
112	hsa-mir-103a-2-5p	23.887	3	21	N
113	hsa-let-7b-5p	19.583	3	16	N
114	hsa-mir-103a-3p	20.350	3	17	N
115	hsa-mir-489	23.315	3	20	N
116	hsa-mir-4306	20.889	3	18	N
117	hsa-mir-378a-3p	17.286	3	14	N
118	hsa-mir-30e-3p	23.096	3	20	N
119	hsa-mir-107	22.760	3	20	N
120	hsa-mir-382-5p	22.595	3	19	N
121	hsa-mir-484	15.281	3	12	N
122	hsa-mir-1281	16.065	3	13	N
123	hsa-mir-3653	24.669	3	21	N
124	hsa-mir-423-3p	18.439	3	15	N
125	hsa-mir-224-5p	23.244	3	20	N
126	hsa-mir-877-3p	18.439	3	15	N
127	hsa-mir-4732-3p	21.144	3	18	N
128	hsa-mir-22-3p	14.574	3	11	N
129	hsa-mir-125b-5p	17.182	3	14	N
130	hsa-mir-203a	24.950	3	22	N
131	hsa-let-7i-5p	17.298	3	14	N
132	hsa-mir-454-3p	25.079	3	22	N
133	hsa-mir-3159	22.543	3	19	N
134	hsa-let-7f-1-3p	23.202	3	20	N
135	hsa-mir-548c-5p	21.696	3	18	N
136	hsa-mir-1913	19.457	3	16	N
137	hsa-mir-548e	25.235	3	22	N
138	hsa-mir-4770	23.578	3	20	N
139	hsa-mir-186-5p	20.307	3	17	N
140	hsa-mir-10a-5p	23.195	3	20	N
141	hsa-mir-1203	19.987	3	17	N
142	hsa-mir-1280	15.248	3	12	N
143	hsa-mir-101-3p	15.279	3	12	N
