* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009S1Z
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\162.eds
* Experiment Name = _C3009S1Z
* Experiment Run End Time = 2013-05-21 00:38:43 AM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP
104	hsa-mir-4323	23.340	3	20	N
105	hsa-mir-339-5p	25.147	3	22	N
106	hsa-mir-501-5p	25.834	3	23	N
107	hsa-mir-132-3p	25.616	3	22	N
108	hsa-mir-29a-3p	20.388	3	17	N
109	hsa-mir-22-5p	24.946	3	22	N
110	hsa-mir-596	22.802	3	20	N
111	hsa-mir-191-5p	20.888	3	18	N
112	hsa-mir-103a-2-5p	27.467	3	24	N
113	hsa-let-7b-5p	21.392	3	18	N
114	hsa-mir-103a-3p	23.243	3	20	N
115	hsa-mir-489	23.447	3	20	N
116	hsa-mir-4306	24.269	3	21	N
117	hsa-mir-378a-3p	23.176	3	20	N
118	hsa-mir-30e-3p	24.793	3	22	N
119	hsa-mir-107	26.676	3	24	N
120	hsa-mir-382-5p	25.625	3	22	N
121	hsa-mir-484	20.039	3	17	N
122	hsa-mir-1281	20.139	3	17	N
123	hsa-mir-3653	27.548	3	24	N
124	hsa-mir-423-3p	22.172	3	19	N
125	hsa-mir-224-5p	27.400	3	24	N
126	hsa-mir-877-3p	22.353	3	19	N
127	hsa-mir-4732-3p	25.050	3	22	N
128	hsa-mir-22-3p	20.848	3	17	N
129	hsa-mir-125b-5p	23.691	3	21	N
130	hsa-mir-203a	28.938	3	25	N
131	hsa-let-7i-5p	20.820	3	18	N
132	hsa-mir-454-3p	26.259	3	23	N
133	hsa-mir-3159	25.623	3	22	N
134	hsa-let-7f-1-3p	26.754	3	23	N
135	hsa-mir-548c-5p	25.779	3	22	N
136	hsa-mir-1913	22.953	3	19	N
137	hsa-mir-548e	27.916	3	25	N
138	hsa-mir-4770	25.734	3	22	N
139	hsa-mir-186-5p	22.689	3	20	N
140	hsa-mir-10a-5p	25.520	3	22	N
141	hsa-mir-1203	23.187	3	20	N
142	hsa-mir-1280	18.886	3	16	N
143	hsa-mir-101-3p	18.919	3	16	N
144	hsa-mir-1910	22.104	3	19	N
145	hsa-mir-151a-3p	23.880	3	21	N
146	hsa-mir-196a-5p	25.331	3	22	N
147	hsa-mir-877-5p	21.848	3	19	N
148	hsa-mir-148b-3p	21.068	3	18	N
149	hsa-mir-100-5p	22.967	3	20	N
150	hsa-mir-4422	25.889	3	23	N
151	hsa-mir-18a-3p	25.648	3	22	N
152	hsa-mir-15a-5p	21.786	3	19	N
153	hsa-mir-134	25.982	3	23	N
154	hsa-mir-421	24.842	3	22	N
155	hsa-mir-181c-5p	26.579	3	23	N
156	hsa-mir-337-5p	28.949	3	26	N
157	hsa-mir-1537	25.306	3	22	N
158	hsa-mir-7-5p	26.172	3	23	N
159	hsa-mir-139-5p	24.363	3	21	N
160	hsa-mir-551a	26.806	3	24	N
161	hsa-mir-15a-3p	24.458	3	21	N
162	hsa-mir-339-3p	25.641	3	22	N
163	hsa-mir-340-5p	22.679	3	19	N
164	hsa-mir-30d-5p	22.778	3	20	N
165	hsa-mir-3923	26.539	3	23	N
166	hsa-let-7e-5p	25.188	3	22	N
167	hsa-mir-335-3p	26.585	3	23	N
