* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009SHL
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\569.eds
* Experiment Name = _C3009SHL
* Experiment Run End Time = 2013-05-01 09:00:30 AM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
104	hsa-mir-4323	23.327	3	20	N
105	hsa-mir-339-5p	24.883	3	21	N
106	hsa-mir-501-5p	25.990	3	23	N
107	hsa-mir-132-3p	21.969	3	19	N
108	hsa-mir-29a-3p	16.509	3	13	N
109	hsa-mir-22-5p	20.159	3	17	N
110	hsa-mir-596	22.514	3	20	N
111	hsa-mir-191-5p	19.179	3	16	N
112	hsa-mir-103a-2-5p	26.889	3	24	Y
113	hsa-let-7b-5p	18.680	3	15	N
114	hsa-mir-103a-3p	21.629	3	18	N
115	hsa-mir-489	22.987	3	20	N
116	hsa-mir-4306	24.514	3	21	N
117	hsa-mir-378a-3p	17.237	3	14	N
118	hsa-mir-30e-3p	22.028	3	19	N
119	hsa-mir-107	23.708	3	21	N
120	hsa-mir-382-5p	23.701	3	20	N
121	hsa-mir-484	18.988	3	16	N
122	hsa-mir-1281	19.873	3	17	Y
123	hsa-mir-3653	24.002	3	21	N
124	hsa-mir-423-3p	21.490	3	18	N
125	hsa-mir-224-5p	26.674	3	23	N
126	hsa-mir-877-3p	22.262	3	19	N
127	hsa-mir-4732-3p	25.656	3	23	N
128	hsa-mir-22-3p	14.678	3	11	N
129	hsa-mir-125b-5p	16.117	3	13	N
130	hsa-mir-203a	23.571	3	20	N
131	hsa-let-7i-5p	18.130	3	15	N
132	hsa-mir-454-3p	25.692	3	23	N
133	hsa-mir-3159	25.084	3	22	N
134	hsa-let-7f-1-3p	24.882	3	22	N
135	hsa-mir-548c-5p	25.780	3	23	N
136	hsa-mir-1913	22.377	3	19	N
137	hsa-mir-548e	25.581	3	22	N
138	hsa-mir-4770	25.434	3	22	N
139	hsa-mir-186-5p	19.764	3	17	N
140	hsa-mir-10a-5p	23.780	3	21	N
141	hsa-mir-1203	24.413	3	21	N
142	hsa-mir-1280	18.127	3	15	N
143	hsa-mir-101-3p	17.958	3	15	N
144	hsa-mir-1910	22.052	3	19	N
145	hsa-mir-151a-3p	20.088	3	17	N
146	hsa-mir-196a-5p	25.723	3	23	N
147	hsa-mir-877-5p	21.503	3	18	N
148	hsa-mir-148b-3p	15.410	3	12	N
149	hsa-mir-100-5p	17.641	3	14	N
150	hsa-mir-4422	25.895	3	23	N
151	hsa-mir-18a-3p	24.620	3	21	N
152	hsa-mir-15a-5p	21.788	3	18	N
153	hsa-mir-134	25.603	3	22	N
154	hsa-mir-421	23.248	3	20	N
155	hsa-mir-181c-5p	27.187	3	24	N
156	hsa-mir-337-5p	32.091	3	29	N
157	hsa-mir-1537	29.105	3	26	N
158	hsa-mir-7-5p	21.644	3	19	N
159	hsa-mir-139-5p	22.355	3	19	N
160	hsa-mir-551a	27.956	3	25	N
161	hsa-mir-15a-3p	24.067	3	21	N
162	hsa-mir-339-3p	25.169	3	22	N
163	hsa-mir-340-5p	20.411	3	17	N
164	hsa-mir-30d-5p	18.173	3	15	N
165	hsa-mir-3923	26.534	3	23	N
166	hsa-let-7e-5p	22.668	3	19	N
167	hsa-mir-335-3p	26.243	3	23	N
168	hsa-mir-345-5p	22.587	3	19	N
169	hsa-mir-485-5p	28.479	3	25	N
170	hsa-mir-3183	23.393	3	20	N
171	hsa-mir-532-3p	21.811	3	19	N
172	hsa-mir-542-3p	25.373	3	22	N
