* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009UAW
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\18.eds
* Experiment Name = _C3009UAW
* Experiment Run End Time = 2013-04-26 21:56:20 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP	EXPFAIL	MTP
88	hsa-mir-199a-5p	30.200	3	27	N	N	N
89	hsa-mir-125a-5p	23.434	3	20	N	N	N
90	hsa-mir-376c-3p	29.148	3	26	N	N	N
91	hsa-mir-503-5p	27.428	3	24	N	N	N
92	hsa-mir-361-3p	31.993	3	29	N	N	N
93	hsa-mir-590-5p	36.601	3	33	N	N	N
94	hsa-mir-1207-5p	26.594	3	23	N	N	N
95	hsa-mir-342-5p	28.319	3	25	N	N	N
96	hsa-mir-1193	30.450	3	27	N	N	N
97	hsa-mir-624-5p	29.853	3	27	N	N	N
98	hsa-mir-4689	28.044	3	25	N	N	N
99	hsa-mir-139-3p	31.104	3	28	N	N	N
100	hsa-mir-4516	21.652	3	18	N	N	N
101	hsa-mir-1539	30.285	3	27	N	N	N
102	hsa-mir-377-3p	Undetermined	3	39	Y	Y	Y
103	hsa-mir-130a-3p	26.043	3	23	N	N	N
104	hsa-mir-4323	29.433	3	26	N	N	N
105	hsa-mir-339-5p	30.004	3	27	N	N	Y
106	hsa-mir-501-5p	31.373	3	28	N	N	N
107	hsa-mir-132-3p	27.435	3	24	N	N	N
108	hsa-mir-29a-3p	24.927	3	22	N	N	N
109	hsa-mir-22-5p	31.541	3	28	N	N	N
110	hsa-mir-596	29.991	3	27	N	N	N
111	hsa-mir-191-5p	22.858	3	20	N	N	N
112	hsa-mir-103a-2-5p	36.073	3	33	N	N	N
113	hsa-let-7b-5p	19.827	3	17	N	N	N
114	hsa-mir-103a-3p	29.401	3	26	N	N	N
115	hsa-mir-489	22.656	3	20	N	N	N
116	hsa-mir-4306	25.343	3	22	N	N	N
117	hsa-mir-378a-3p	26.799	3	24	N	N	N
118	hsa-mir-30e-3p	24.928	3	22	N	N	N
119	hsa-mir-107	30.882	3	28	N	N	N
120	hsa-mir-382-5p	26.082	3	23	N	N	N
121	hsa-mir-484	23.798	3	21	N	N	N
122	hsa-mir-1281	25.879	3	23	N	N	Y
123	hsa-mir-3653	30.778	3	28	N	N	N
124	hsa-mir-423-3p	29.777	3	27	N	N	N
125	hsa-mir-224-5p	27.327	3	24	N	N	N
126	hsa-mir-877-3p	28.081	3	25	N	N	N
127	hsa-mir-4732-3p	28.681	3	26	N	N	N
128	hsa-mir-22-3p	25.617	3	23	N	N	N
129	hsa-mir-125b-5p	25.296	3	22	N	N	N
130	hsa-mir-203a	29.769	3	27	N	N	N
131	hsa-let-7i-5p	22.549	3	19	N	N	N
132	hsa-mir-454-3p	27.508	3	24	N	N	N
133	hsa-mir-3159	27.078	3	24	N	N	N
134	hsa-let-7f-1-3p	29.852	3	27	N	N	N
135	hsa-mir-548c-5p	31.823	3	29	N	N	Y
136	hsa-mir-1913	27.246	3	24	N	N	N
137	hsa-mir-548e	32.270	3	29	N	N	N
138	hsa-mir-4770	29.949	3	27	N	N	N
139	hsa-mir-186-5p	28.591	3	25	N	N	N
140	hsa-mir-10a-5p	25.457	3	22	N	N	N
141	hsa-mir-1203	29.351	3	26	N	N	N
142	hsa-mir-1280	23.065	3	20	N	N	N
143	hsa-mir-101-3p	24.926	3	22	N	N	N
144	hsa-mir-1910	28.086	3	25	N	N	N
145	hsa-mir-151a-3p	24.533	3	21	N	N	N
146	hsa-mir-196a-5p	29.835	3	27	N	N	N
147	hsa-mir-877-5p	26.722	3	24	N	N	N
148	hsa-mir-148b-3p	23.424	3	20	N	N	N
149	hsa-mir-100-5p	24.094	3	21	N	N	N
150	hsa-mir-4422	23.939	3	21	N	N	N
151	hsa-mir-18a-3p	31.523	3	28	N	N	N
152	hsa-mir-15a-5p	27.308	3	24	N	N	N
153	hsa-mir-134	28.486	3	25	N	N	N
154	hsa-mir-421	27.400	3	24	N	N	N
155	hsa-mir-181c-5p	31.200	3	28	N	N	N
156	hsa-mir-337-5p	Undetermined	3	39	Y	Y	N
157	hsa-mir-1537	Undetermined	3	39	Y	Y	N
158	hsa-mir-7-5p	24.544	3	21	N	N	N
159	hsa-mir-139-5p	26.167	3	23	N	N	N
160	hsa-mir-551a	Undetermined	3	39	Y	Y	N
161	hsa-mir-15a-3p	29.460	3	26	N	N	N
162	hsa-mir-339-3p	30.586	3	27	N	N	N
163	hsa-mir-340-5p	27.947	3	25	N	N	N
164	hsa-mir-30d-5p	25.788	3	23	N	N	N
